m,kW
z_HRRPUL,HRRPUL
 1.0000000E-001, 6.0473758E+003
 3.0000000E-001, 6.8503660E+003
 5.0000000E-001, 4.4379217E+003
 7.0000000E-001, 3.3577145E+003
 9.0000000E-001, 2.7883215E+003
 1.1000000E+000, 2.5267203E+003
 1.3000000E+000, 2.3483102E+003
 1.5000000E+000, 2.2109834E+003
 1.7000000E+000, 2.1026407E+003
 1.9000000E+000, 2.0066074E+003
 2.1000000E+000, 1.9104795E+003
 2.3000000E+000, 1.8162946E+003
 2.5000000E+000, 1.7204373E+003
 2.7000000E+000, 1.6124789E+003
 2.9000000E+000, 1.5083478E+003
 3.1000000E+000, 1.4051038E+003
 3.3000000E+000, 1.2989200E+003
 3.5000000E+000, 1.1940242E+003
 3.7000000E+000, 1.0948292E+003
 3.9000000E+000, 9.9815829E+002
 4.1000000E+000, 9.0722693E+002
 4.3000000E+000, 8.2005873E+002
 4.5000000E+000, 7.3523596E+002
 4.7000000E+000, 6.5362394E+002
 4.9000000E+000, 5.7317063E+002
 5.1000000E+000, 4.9652933E+002
 5.3000000E+000, 4.2572208E+002
 5.5000000E+000, 3.6312654E+002
 5.7000000E+000, 3.0992443E+002
 5.9000000E+000, 2.6400661E+002
 6.1000000E+000, 2.2341493E+002
 6.3000000E+000, 1.8843805E+002
 6.5000000E+000, 1.5867672E+002
 6.7000000E+000, 1.3343598E+002
 6.9000000E+000, 1.1193885E+002
 7.1000000E+000, 9.4169571E+001
 7.3000000E+000, 7.8273608E+001
 7.5000000E+000, 6.4730681E+001
 7.7000000E+000, 5.2897279E+001
 7.9000000E+000, 4.2952847E+001
 8.1000000E+000, 3.4449618E+001
 8.3000000E+000, 2.7617331E+001
 8.5000000E+000, 2.1853069E+001
 8.7000000E+000, 1.7856227E+001
 8.9000000E+000, 1.0606370E+001
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
